Department,faculty name
Information and Computer Science,Wasfi Ghassan Al-Khatib
Information and Computer Science,Yahya Garout
Information and Computer Science,Salah Adam
Information and Computer Science,Dr. Muhammad Shafique
Information and Computer Science,"Ghouti, Lahouari"
Information and Computer Science,"Ahmed, Ejaz"
Information and Computer Science,"Ghandi, Bashir"
Information and Computer Science,"Al-Ghamdi, Jarallah"
Information and Computer Science,Sajjad Mahmood
Information and Computer Science,Karim Omar Elish
Information and Computer Science,Adil Abdulaziz S Alsuhaim
Information and Computer Science,Sami Mohamed Mahmoud Zhioua
Information and Computer Science,Ahmed Ibrahim Al-Herz
Information and Computer Science,Irfan Ahmad
Information and Computer Science,Mohamed El-Attar
Information and Computer Science,Samer Muhammad Adnan Arafat
Information and Computer Science,Abd-Nacer Bouchekhima
Information and Computer Science,Khalid Abdullah Aljasser
Information and Computer Science,Jameleddine Hassine
Information and Computer Science,Abdulaziz Muhammad Alkhoraidly
Information and Computer Science,Md. Rafiul Hassan
Information and Computer Science,Emad Yehia Ahmed Ramadan
Information and Computer Science,Mansour Ahmed Saad Alharthi
Information and Computer Science,Dr. Rabeah Abdulrahman Alzaidy
Information and Computer Science,Dr. Malak Salim Baslyman
Information and Computer Science,Dr. Imane Boudellioua
Information and Computer Science,Hamzah Abdullah Hamood Luqman
Information Tech. Center,Mohammad Ismail Hasan Amro
Mathematical Sciences,Dr Adnan A Al-Shakhs
Mathematical Sciences,Abdul-Rahman D. Al-Shallali
Mathematical Sciences,Walid S. Al-Sabah
Mathematical Sciences,Khaled Furati
Mathematical Sciences,Faisal Fairag
Mathematical Sciences,Hattan Tawfiq
Mathematical Sciences,Dr. Husain Al-Attas
Mathematical Sciences,Mohammed Samman
Mathematical Sciences,Bader Ahmed Al-Humaidi
Mathematical Sciences,Mr. Saeed Al-Garni
Mathematical Sciences,fiazuddin zaman
Mathematical Sciences,Dr. Mohamed El=Gebeily
Mathematical Sciences,Dr. Ghulam Kabir Beg
Mathematical Sciences,Dr. Rajai Alassar
Mathematical Sciences,salim Messaoudi
Mathematical Sciences,Professor Haydar Akca
Mathematical Sciences,Muhammad Ashfaq Bokhari
Mathematical Sciences,Shehadeh Yaqoub
Mathematical Sciences,Abdelkader Boucherif
Mathematical Sciences,Ashfaque H. Bokhari
Mathematical Sciences,Dr. S. Kabbaj
Mathematical Sciences,Marwan Al-Momani
